Isotope #, Isotopic Mass (a.u.), Isotope Shift (Hz), Abundance
84, 83.913419, -270.8e6, 0.0056
86, 85.90926073, -124.8e6, 0.0986
87, 86.90887750, -68.9e6, 0.07
88, 87.900561226, 0, 0.8258
